dept_id,item_id,neighbor_item,price_change_events,source_up_events,source_down_events,cross_price_corr,absolute_cross_price_corr,relationship_type,edge_strength,edge_direction,direction_label,neighbor_total_units,neighbor_current_price,neighbor_recommended_price,neighbor_revenue_gain_pct,neighbor_connections,neighbor_strong_connections,strength_rank,neighbor_rank
FOODS_1,FOODS_1_012,FOODS_1_076,87,79,8,0.305421572112973,0.305421572112973,SUBSTITUTION_LIKE,MODERATE,OUTGOING,YOUR PRICE → NEIGHBOR DEMAND,14456,5.923,6.367,30.935287186037755,4,0,2,1
FOODS_1,FOODS_1_012,FOODS_1_061,43,31,12,0.3048601460934259,0.3048601460934259,SUBSTITUTION_LIKE,MODERATE,INCOMING,NEIGHBOR PRICE → YOUR DEMAND,40852,2.24,2.24,0.0,4,1,2,2
FOODS_1,FOODS_1_019,FOODS_1_150,33,16,17,-0.43753107794892143,0.43753107794892143,COMPLEMENT_LIKE,MODERATE,OUTGOING,YOUR PRICE → NEIGHBOR DEMAND,28907,5.28,5.28,0.0,1,0,2,1
FOODS_1,FOODS_1_019,FOODS_1_074,32,16,16,-0.30075927124411467,0.30075927124411467,COMPLEMENT_LIKE,MODERATE,OUTGOING,YOUR PRICE → NEIGHBOR DEMAND,20440,2.24,2.24,0.0,6,1,2,2
FOODS_1,FOODS_1_023,FOODS_1_076,63,39,24,0.3127883000120753,0.3127883000120753,SUBSTITUTION_LIKE,MODERATE,INCOMING,NEIGHBOR PRICE → YOUR DEMAND,14456,5.923,6.367,30.935287186037755,4,0,2,1
FOODS_1,FOODS_1_037,FOODS_1_074,65,44,21,0.44439812428748793,0.44439812428748793,SUBSTITUTION_LIKE,STRONG,OUTGOING,YOUR PRICE → NEIGHBOR DEMAND,20440,2.24,2.24,0.0,6,1,1,1
FOODS_1,FOODS_1_037,FOODS_1_166,46,30,16,0.4372218000340574,0.4372218000340574,SUBSTITUTION_LIKE,STRONG,INCOMING,NEIGHBOR PRICE → YOUR DEMAND,34716,2.24,2.24,0.0,2,2,1,2
FOODS_1,FOODS_1_037,FOODS_1_055,71,46,25,0.4346667474049141,0.4346667474049141,SUBSTITUTION_LIKE,STRONG,OUTGOING,YOUR PRICE → NEIGHBOR DEMAND,58142,4.2,4.2,0.0,7,4,1,3
FOODS_1,FOODS_1_037,FOODS_1_219,42,28,14,0.4128524777256972,0.4128524777256972,SUBSTITUTION_LIKE,STRONG,INCOMING,NEIGHBOR PRICE → YOUR DEMAND,41786,2.24,2.24,0.0,2,2,1,4
FOODS_1,FOODS_1_037,FOODS_1_061,39,27,12,0.5211076239015789,0.5211076239015789,SUBSTITUTION_LIKE,MODERATE,INCOMING,NEIGHBOR PRICE → YOUR DEMAND,40852,2.24,2.24,0.0,4,1,2,5
FOODS_1,FOODS_1_037,FOODS_1_206,60,41,19,-0.36466837345515735,0.36466837345515735,COMPLEMENT_LIKE,MODERATE,OUTGOING,YOUR PRICE → NEIGHBOR DEMAND,30494,2.23,2.18,0.4186333482364879,4,0,2,6
FOODS_1,FOODS_1_037,FOODS_1_201,52,34,18,0.32080552351619096,0.32080552351619096,SUBSTITUTION_LIKE,MODERATE,INCOMING,NEIGHBOR PRICE → YOUR DEMAND,30390,2.24,2.24,0.0,2,1,2,7
FOODS_1,FOODS_1_055,FOODS_1_201,52,33,19,0.640603372356574,0.640603372356574,SUBSTITUTION_LIKE,STRONG,OUTGOING,YOUR PRICE → NEIGHBOR DEMAND,30390,2.24,2.24,0.0,2,1,1,1
FOODS_1,FOODS_1_055,FOODS_1_166,51,32,19,0.610663436362315,0.610663436362315,SUBSTITUTION_LIKE,STRONG,OUTGOING,YOUR PRICE → NEIGHBOR DEMAND,34716,2.24,2.24,0.0,2,2,1,2
FOODS_1,FOODS_1_055,FOODS_1_219,49,31,18,0.5004888420013611,0.5004888420013611,SUBSTITUTION_LIKE,STRONG,OUTGOING,YOUR PRICE → NEIGHBOR DEMAND,41786,2.24,2.24,0.0,2,2,1,3
FOODS_1,FOODS_1_055,FOODS_1_037,71,46,25,0.4346667474049141,0.4346667474049141,SUBSTITUTION_LIKE,STRONG,INCOMING,NEIGHBOR PRICE → YOUR DEMAND,18103,3.4799999999999995,3.4799999999999995,0.0,7,4,1,4
FOODS_1,FOODS_1_055,FOODS_1_076,52,33,19,-0.38254129331440323,0.38254129331440323,COMPLEMENT_LIKE,MODERATE,OUTGOING,YOUR PRICE → NEIGHBOR DEMAND,14456,5.923,6.367,30.935287186037755,4,0,2,5
FOODS_1,FOODS_1_055,FOODS_1_206,50,33,17,-0.36561965523913265,0.36561965523913265,COMPLEMENT_LIKE,MODERATE,OUTGOING,YOUR PRICE → NEIGHBOR DEMAND,30494,2.23,2.18,0.4186333482364879,4,0,2,6
FOODS_1,FOODS_1_055,FOODS_1_074,47,29,18,-0.33474773636617805,0.33474773636617805,COMPLEMENT_LIKE,MODERATE,INCOMING,NEIGHBOR PRICE → YOUR DEMAND,20440,2.24,2.24,0.0,6,1,2,7
FOODS_1,FOODS_1_061,FOODS_1_187,60,40,20,-0.42104600608732506,0.42104600608732506,COMPLEMENT_LIKE,STRONG,INCOMING,NEIGHBOR PRICE → YOUR DEMAND,25028,9.98,9.964,2.3859160598133786,2,1,1,1
