item_id,store_id,scenario_date,current_price,candidate_price,support_weeks,first_seen,last_seen
FOODS_1_012,CA_1,2016-05-21,5.64,5.56,27,2015-05-30,2015-11-28
FOODS_1_012,CA_1,2016-05-21,5.64,5.64,25,2015-12-05,2016-05-21
FOODS_1_012,CA_2,2016-05-21,5.64,5.56,26,2015-05-30,2015-11-21
FOODS_1_012,CA_2,2016-05-21,5.64,5.64,26,2015-11-28,2016-05-21
FOODS_1_012,CA_3,2016-05-21,5.64,5.56,26,2015-05-30,2015-11-21
FOODS_1_012,CA_3,2016-05-21,5.64,5.64,26,2015-11-28,2016-05-21
FOODS_1_012,CA_4,2016-05-21,5.64,5.56,26,2015-05-30,2015-11-21
FOODS_1_012,CA_4,2016-05-21,5.64,5.64,26,2015-11-28,2016-05-21
FOODS_1_012,TX_1,2016-05-21,6.27,6.18,6,2015-05-30,2015-07-04
FOODS_1_012,TX_1,2016-05-21,6.27,6.19,20,2015-07-11,2015-11-21
FOODS_1_012,TX_1,2016-05-21,6.27,6.27,26,2015-11-28,2016-05-21
FOODS_1_012,TX_2,2016-05-21,6.27,6.18,7,2015-05-30,2015-07-11
FOODS_1_012,TX_2,2016-05-21,6.27,6.19,20,2015-07-18,2015-11-28
FOODS_1_012,TX_2,2016-05-21,6.27,6.27,25,2015-12-05,2016-05-21
FOODS_1_012,TX_3,2016-05-21,6.27,6.18,6,2015-05-30,2015-07-04
FOODS_1_012,TX_3,2016-05-21,6.27,6.19,22,2015-07-11,2015-12-05
FOODS_1_012,TX_3,2016-05-21,6.27,6.27,24,2015-12-12,2016-05-21
FOODS_1_012,WI_1,2016-05-21,7.27,7.18,8,2015-05-23,2015-07-11
FOODS_1_012,WI_1,2016-05-21,7.27,7.19,19,2015-07-18,2015-11-21
FOODS_1_012,WI_1,2016-05-21,7.27,7.27,26,2015-11-28,2016-05-21
FOODS_1_012,WI_2,2016-05-21,7.27,7.18,6,2015-05-30,2015-07-04
FOODS_1_012,WI_2,2016-05-21,7.27,7.19,21,2015-07-11,2015-11-28
FOODS_1_012,WI_2,2016-05-21,7.27,7.27,25,2015-12-05,2016-05-21
FOODS_1_012,WI_3,2016-05-21,7.27,7.18,6,2015-06-13,2015-07-18
FOODS_1_012,WI_3,2016-05-21,7.27,7.19,19,2015-07-25,2015-11-28
FOODS_1_012,WI_3,2016-05-21,7.27,7.27,25,2015-12-05,2016-05-21
FOODS_1_019,CA_1,2016-05-21,0.98,0.98,34,2015-10-03,2016-05-21
FOODS_1_019,CA_1,2016-05-21,0.98,1.08,19,2015-05-23,2015-09-26
FOODS_1_019,CA_2,2016-05-21,0.98,0.98,34,2015-10-03,2016-05-21
FOODS_1_019,CA_2,2016-05-21,0.98,1.08,19,2015-05-23,2015-09-26
FOODS_1_019,CA_3,2016-05-21,0.98,0.98,53,2015-05-23,2016-05-21
FOODS_1_019,CA_4,2016-05-21,0.98,0.98,34,2015-10-03,2016-05-21
FOODS_1_019,CA_4,2016-05-21,0.98,1.08,19,2015-05-23,2015-09-26
FOODS_1_019,TX_1,2016-05-21,0.98,0.98,34,2015-10-03,2016-05-21
FOODS_1_019,TX_1,2016-05-21,0.98,1.08,19,2015-05-23,2015-09-26
FOODS_1_019,TX_2,2016-05-21,0.98,0.98,34,2015-10-03,2016-05-21
FOODS_1_019,TX_2,2016-05-21,0.98,1.08,19,2015-05-23,2015-09-26
FOODS_1_019,TX_3,2016-05-21,0.98,0.98,34,2015-10-03,2016-05-21
FOODS_1_019,TX_3,2016-05-21,0.98,1.08,19,2015-05-23,2015-09-26
FOODS_1_019,WI_1,2016-05-21,0.88,0.88,53,2015-05-23,2016-05-21
FOODS_1_019,WI_2,2016-05-21,0.88,0.88,53,2015-05-23,2016-05-21
FOODS_1_019,WI_3,2016-05-21,0.88,0.88,53,2015-05-23,2016-05-21
FOODS_1_023,CA_1,2016-05-21,5.64,5.56,27,2015-05-30,2015-11-28
FOODS_1_023,CA_1,2016-05-21,5.64,5.64,25,2015-12-05,2016-05-21
FOODS_1_023,CA_2,2016-05-21,5.64,5.56,27,2015-05-23,2015-11-21
FOODS_1_023,CA_2,2016-05-21,5.64,5.64,26,2015-11-28,2016-05-21
FOODS_1_023,CA_3,2016-05-21,5.64,5.56,26,2015-05-30,2015-11-21
FOODS_1_023,CA_3,2016-05-21,5.64,5.64,26,2015-11-28,2016-05-21
FOODS_1_023,CA_4,2016-05-21,5.64,5.56,27,2015-05-30,2015-11-28
FOODS_1_023,CA_4,2016-05-21,5.64,5.64,25,2015-12-05,2016-05-21
FOODS_1_023,TX_1,2016-05-21,6.27,6.18,6,2015-05-30,2015-07-04
FOODS_1_023,TX_1,2016-05-21,6.27,6.19,20,2015-07-11,2015-11-21
FOODS_1_023,TX_1,2016-05-21,6.27,6.27,26,2015-11-28,2016-05-21
FOODS_1_023,TX_2,2016-05-21,6.27,6.18,7,2015-05-30,2015-07-11
FOODS_1_023,TX_2,2016-05-21,6.27,6.19,19,2015-07-18,2015-11-21
FOODS_1_023,TX_2,2016-05-21,6.27,6.27,26,2015-11-28,2016-05-21
FOODS_1_023,TX_3,2016-05-21,6.27,6.18,9,2015-05-30,2015-07-25
FOODS_1_023,TX_3,2016-05-21,6.27,6.19,19,2015-08-01,2015-12-05
FOODS_1_023,TX_3,2016-05-21,6.27,6.27,24,2015-12-12,2016-05-21
FOODS_1_023,WI_1,2016-05-21,7.27,7.18,8,2015-05-23,2015-07-11
FOODS_1_023,WI_1,2016-05-21,7.27,7.19,19,2015-07-18,2015-11-21
FOODS_1_023,WI_1,2016-05-21,7.27,7.27,26,2015-11-28,2016-05-21
