item_id,dept_id,store_id,state_id,date,wm_yr_wk,sell_price,previous_price,normal_price_13wk,hist_mean_price,price_change_pct,price_vs_normal_pct,price_vs_hist_mean_pct,price_down_flag,price_up_flag,lag_1_units,lag_4_units,lag_13_units,lag_52_units,rolling_4_units,rolling_13_units,hist_mean_units,hist_median_units,lag_1_vs_mean,lag_4_vs_mean,lag_13_vs_mean,lag_52_vs_mean,rolling_4_vs_mean,rolling_13_vs_mean,snap_days,event_days,sporting_flag,cultural_flag,religious_flag,national_flag,month,day_of_month,week_of_year
FOODS_1_012,FOODS_1,CA_1,CA,2016-05-21,11617,5.64,5.64,5.64,5.499083665338645,0.0,0.0,2.5625421113260423,0,0,24.0,20.0,26.0,13.0,18.25,21.46153846153846,21.03187250996016,23.0,1.1411252131085432,0.9509376775904528,1.2362189808675885,0.6181094904337943,0.8677306308012881,1.020429277106678,0,0,0,0,0,0,5,21,20
FOODS_1_012,FOODS_1,CA_2,CA,2016-05-21,11617,5.64,5.64,5.64,5.500398406374502,0.0,0.0,2.538026944806605,0,0,31.0,90.0,76.0,43.0,83.75,89.92307692307692,78.47410358565737,90.0,0.395034776869574,1.1468751586536021,0.9684723561963751,0.5479514646900543,1.0672310504137685,1.1458949234752656,0,0,0,0,0,0,5,21,20
FOODS_1_012,FOODS_1,CA_3,CA,2016-05-21,11617,5.64,5.64,5.64,5.50011952191235,0.0,0.0,2.5432261522748485,0,0,0.0,0.0,61.0,44.0,0.0,15.0,43.50996015936255,49.0,0.0,0.0,1.4019778408570645,1.0112627048805054,0.0,0.3447486493910814,0,0,0,0,0,0,5,21,20
FOODS_1_012,FOODS_1,CA_4,CA,2016-05-21,11617,5.64,5.64,5.64,5.499681274900398,0.0,0.0,2.5513974007910605,0,0,35.0,48.0,38.0,36.0,40.75,35.76923076923077,32.59362549800797,38.0,1.0738296051827405,1.4726806013934728,1.1658721427698326,1.1045104510451045,1.2502444688913337,1.0974302558460973,0,0,0,0,0,0,5,21,20
FOODS_1_012,FOODS_1,TX_1,TX,2016-05-21,11617,6.27,6.27,6.27,5.958446969696969,0.0,0.0,5.228762324939766,0,0,60.0,47.0,42.0,35.0,60.75,53.0,34.015151515151516,32.0,1.7639198218262806,1.3817371937639198,1.2347438752783964,1.0289532293986636,1.785968819599109,1.5581291759465479,0,0,0,0,0,0,5,21,20
FOODS_1_012,FOODS_1,TX_2,TX,2016-05-21,11617,6.27,6.27,6.27,5.957992424242424,0.0,0.0,5.236790407588475,0,0,62.0,67.0,65.0,41.0,64.25,68.15384615384616,59.291666666666664,60.0,1.045678144764582,1.130007027406887,1.096275474349965,0.691496837666901,1.083626141953619,1.1494675387858804,0,0,0,0,0,0,5,21,20
FOODS_1_012,FOODS_1,TX_3,TX,2016-05-21,11617,6.27,6.27,6.27,5.957310606060606,0.0,0.0,5.2488348286101205,0,0,50.0,60.0,53.0,49.0,54.25,55.61538461538461,36.458333333333336,38.0,1.3714285714285714,1.6457142857142857,1.4537142857142855,1.3439999999999999,1.488,1.5254505494505493,0,0,0,0,0,0,5,21,20
FOODS_1_012,FOODS_1,WI_1,WI,2016-05-21,11617,7.27,7.27,7.27,7.230278884462151,0.0,0.0,0.5493718316067905,0,0,42.0,14.0,20.0,19.0,29.25,26.76923076923077,17.342629482071715,19.0,2.4217780840799445,0.8072593613599816,1.153227659085688,1.0955662761314036,1.6865954514128185,1.5435508667762285,0,0,0,0,0,0,5,21,20
FOODS_1_012,FOODS_1,WI_2,WI,2016-05-21,11617,7.27,7.27,7.27,7.234940239043825,0.0,0.0,0.48458950313055293,0,0,12.0,15.0,18.0,2.0,13.75,14.384615384615385,7.50996015936255,8.0,1.5978779840848805,1.9973474801061006,2.396816976127321,0.2663129973474801,1.8309018567639257,1.9154050193837993,0,0,0,0,0,0,5,21,20
FOODS_1_012,FOODS_1,WI_3,WI,2016-05-21,11617,7.27,7.27,7.27,7.228406374501992,0.0,0.0,0.5754190252048946,0,0,17.0,11.0,16.0,13.0,13.5,15.846153846153847,7.7370517928286855,7.0,2.197219361483007,1.42173017507724,2.067971163748713,1.680226570545829,1.7448506694129762,2.0480868256357443,0,0,0,0,0,0,5,21,20
FOODS_1_019,FOODS_1,CA_1,CA,2016-05-21,11617,0.98,0.98,0.98,1.0486281588447655,0.0,0.0,-6.544565703859274,0,0,64.0,51.0,39.0,0.0,53.75,53.76923076923077,28.642599277978338,32.0,2.23443408116965,1.7805646584320647,1.3616082682127553,0.0,1.876575497857323,1.8772469023288283,0,0,0,0,0,0,5,21,20
FOODS_1_019,FOODS_1,CA_2,CA,2016-05-21,11617,0.98,0.98,0.98,1.048231046931408,0.0,0.0,-6.509161041465775,0,0,70.0,68.0,39.0,0.0,75.25,60.84615384615385,39.664259927797836,39.0,1.764812960771821,1.7143897333211977,0.9832529352871575,0.0,1.8971739328297077,1.5340297274401216,0,0,0,0,0,0,5,21,20
FOODS_1_019,FOODS_1,CA_3,CA,2016-05-21,11617,0.98,0.98,0.98,1.0037184115523468,0.0,0.0,-2.3630543466532585,0,0,44.0,32.0,44.0,7.0,44.25,46.0,34.17689530685921,31.0,1.287419457061371,0.9363050596809971,1.287419457061371,0.20481673180521812,1.2947343403401288,1.3459385232914334,0,0,0,0,0,0,5,21,20
FOODS_1_019,FOODS_1,CA_4,CA,2016-05-21,11617,0.98,0.98,0.98,1.0486281588447655,0.0,0.0,-6.544565703859274,0,0,38.0,55.0,26.0,0.0,41.5,38.46153846153846,18.974729241877256,21.0,2.002663622526636,2.898592085235921,1.3702435312024352,0.0,2.187119482496195,2.0269874721929515,0,0,0,0,0,0,5,21,20
FOODS_1_019,FOODS_1,TX_1,TX,2016-05-21,11617,0.98,0.98,0.98,1.0490252707581227,0.0,0.0,-6.579943561153552,0,0,16.0,17.0,28.0,0.0,17.25,26.76923076923077,16.314079422382672,11.0,0.980747953086966,1.0420447001549014,1.7163089179021906,0.0,1.0573688869218854,1.6408667676647317,0,0,0,0,0,0,5,21,20
FOODS_1_019,FOODS_1,TX_2,TX,2016-05-21,11617,0.98,0.98,0.98,1.0486281588447655,0.0,0.0,-6.544565703859274,0,0,55.0,29.0,33.0,0.0,34.0,31.923076923076923,22.061371841155236,17.0,2.4930453280968745,1.3145148093601702,1.4958271968581247,0.0,1.5411552937326132,1.447012323300983,0,0,0,0,0,0,5,21,20
FOODS_1_019,FOODS_1,TX_3,TX,2016-05-21,11617,0.98,0.98,0.98,1.048231046931408,0.0,0.0,-6.509161041465775,0,0,26.0,21.0,17.0,0.0,28.25,30.307692307692307,10.469314079422382,4.0,2.4834482758620693,2.0058620689655173,1.623793103448276,0.0,2.6983620689655172,2.8949071618037134,0,0,0,0,0,0,5,21,20
FOODS_1_019,FOODS_1,WI_1,WI,2016-05-21,11617,0.88,0.88,0.88,0.9872202166064982,0.0,0.0,-10.860820595333868,0,0,33.0,42.0,0.0,22.0,43.75,35.23076923076923,24.967509025270758,27.0,1.3217177559282822,1.6821862348178138,0.0,0.8811451706188549,1.7522773279352226,1.4110646438581662,0,0,0,0,0,0,5,21,20
