item_id,dept_id,total_units,avg_weekly_units,avg_historical_price,stores_observed,weeks_observed,eligible_stores,avg_current_price,avg_recommended_price,avg_price_change_pct,avg_predicted_revenue_gain_pct,high_reliability_decisions,review_decisions,outgoing_edges,outgoing_strength,strong_outgoing_edges,substitution_outgoing,complement_outgoing,incoming_edges,incoming_strength,strong_incoming_edges,substitution_incoming,complement_incoming,total_connections,total_relationship_strength,total_strong_connections
FOODS_1_012,FOODS_1,86633,33.854239937475576,6.1542672919109025,10,265,10,6.318,6.302,-0.28368794326241165,82.64281030545649,10,0,1,0.305421572112973,0,1,0,1,0.3048601460934259,0,1,0,2,0.6102817182063989,0
FOODS_1_019,FOODS_1,65346,23.505755395683455,1.0255071942446043,10,278,10,0.95,0.96,1.0204081632653073,0.3763197280712189,9,0,2,0.7382903491930362,0,0,2,0,0.0,0,0,0,2,0.7382903491930362,0
FOODS_1_023,FOODS_1,31165,12.894083574679355,6.048916011584609,10,265,10,6.318,6.31,-0.11004126547455184,0.09057016253227193,10,0,0,0.0,0,0,0,1,0.3127883000120753,0,1,0,1,0.3127883000120753,0
FOODS_1_037,FOODS_1,18103,6.645741556534508,3.205954478707783,10,278,10,3.4799999999999995,3.4799999999999995,0.0,0.0,10,0,3,1.2437332451475593,2,2,1,4,1.6919874251775244,2,4,0,7,2.9357206703250838,4
FOODS_1_055,FOODS_1,58142,20.936982355059417,3.867054375225063,10,278,10,4.2,4.2,0.0,0.0,10,0,5,2.499916599273786,3,3,2,2,0.7694144837710921,1,1,1,7,3.269331083044878,4
FOODS_1_061,FOODS_1,40852,14.742692168892097,2.165875135330206,10,278,10,2.24,2.24,0.0,0.0,10,0,2,0.8259677699950048,0,2,0,2,0.7557363553323011,1,0,2,4,1.5817041253273059,1
FOODS_1_074,FOODS_1,20440,7.35251798561151,2.2196438848920867,10,278,10,2.24,2.24,0.0,0.0,10,0,2,0.6564368423633786,0,0,2,4,1.4479121039670912,1,3,1,6,2.10434894633047,1
FOODS_1_076,FOODS_1,14456,5.211247296322999,6.446279740447007,10,278,10,5.923,6.367,6.771359805360385,30.935287186037755,6,4,2,0.6846233666162167,0,2,0,2,0.6879628654273762,0,1,1,4,1.3725862320435929,0
FOODS_1_081,FOODS_1,14147,5.926686217008798,6.047436112274822,10,265,10,6.318,6.2780000000000005,-0.599559474593935,4.553297302511028,10,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0
FOODS_1_087,FOODS_1,39912,16.191480730223123,6.0776551724137935,10,265,10,6.318,6.31,-0.11004126547455184,0.570066698399353,10,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0
