dept_id,source_item,target_item,relationship_type,edge_strength,price_change_events,source_up_events,source_down_events,ripple_elasticity,intercept,training_r2,sign_consistent,absolute_elasticity,production_elasticity,elasticity_winsorized,supported_log_move_lower,supported_log_move_upper,supported_price_change_lower_pct,supported_price_change_upper_pct
FOODS_2,FOODS_2_063,FOODS_2_212,SUBSTITUTION_LIKE,MODERATE,34,23,11,18.872265193441255,-0.9328847943355811,0.36983548420518564,True,18.872265193441255,3.801313542541984,True,-0.05178814201488272,0.0883018978864951,-5.046998894991653,9.23178407024967
FOODS_1,FOODS_1_055,FOODS_1_201,SUBSTITUTION_LIKE,STRONG,52,33,19,5.022704899325246,-0.39996167904963364,0.41901855870353055,True,5.022704899325246,3.801313542541984,True,-0.1285188508009783,0.21283418165534837,-12.060301507537686,23.7179487179487
FOODS_3,FOODS_3_734,FOODS_3_030,COMPLEMENT_LIKE,MODERATE,56,47,9,-10.952742551913616,1.0805365406449943,0.3647881932253557,True,10.952742551913616,-5.504521024274022,True,-0.023716526617316044,0.15509956347665455,-2.34375,16.77742229788982
FOODS_2,FOODS_2_291,FOODS_2_166,COMPLEMENT_LIKE,STRONG,57,34,23,-10.889032853951797,-0.8936161367529518,0.3886060761255149,True,10.889032853951797,-5.504521024274022,True,-0.09691789719242165,0.10476821281455764,-9.236947791164651,11.045319170381482
FOODS_2,FOODS_2_291,FOODS_2_240,COMPLEMENT_LIKE,STRONG,56,33,23,-13.21243233640986,-1.2475458383474658,0.38362082161920885,True,13.21243233640986,-5.504521024274022,True,-0.09691789719242165,0.10770513116263476,-9.236947791164651,11.37192958501624
FOODS_1,FOODS_1_055,FOODS_1_166,SUBSTITUTION_LIKE,STRONG,51,32,19,6.017966680920877,-0.5923648531852411,0.38712072629603145,True,6.017966680920877,3.801313542541984,True,-0.1285188508009783,0.21283418165534837,-12.060301507537686,23.7179487179487
FOODS_2,FOODS_2_285,FOODS_2_119,SUBSTITUTION_LIKE,STRONG,45,33,12,2.813906145556138,-0.20518910417115085,0.3069843524359863,True,2.813906145556138,2.813906145556138,False,-0.15269573822615742,0.2549504492241516,-14.160914239245512,29.039767908256884
FOODS_3,FOODS_3_734,FOODS_3_224,COMPLEMENT_LIKE,STRONG,58,48,10,-5.492016888436695,0.7779230182147662,0.3700524563633484,True,5.492016888436695,-5.492016888436695,False,-0.023716526617316044,0.1353413478697623,-2.34375,14.492753623188426
FOODS_3,FOODS_3_734,FOODS_3_727,COMPLEMENT_LIKE,STRONG,59,49,10,-5.578058180542918,0.8674869492649667,0.36520054885263553,True,5.578058180542918,-5.504521024274022,True,-0.023716526617316044,0.1353413478697623,-2.34375,14.492753623188426
FOODS_3,FOODS_3_231,FOODS_3_723,SUBSTITUTION_LIKE,STRONG,95,41,54,3.284155838562507,0.2911172997277265,0.30664615113945026,True,3.284155838562507,3.284155838562507,False,-0.1829906769259788,0.09567520992336254,-16.722408026755854,10.040160642570273
FOODS_2,FOODS_2_285,FOODS_2_019,SUBSTITUTION_LIKE,MODERATE,36,26,10,2.313126745201104,0.04566294037653266,0.3074412294626415,True,2.313126745201104,2.313126745201104,False,-0.12754069835945184,0.2777407343639332,-11.974240993460965,32.014388489208635
FOODS_2,FOODS_2_294,FOODS_2_183,COMPLEMENT_LIKE,STRONG,52,21,31,-3.499393489917243,-0.40243724003757264,0.3204907359397936,True,3.499393489917243,-3.499393489917243,False,-0.2231435513142097,0.29839002997758285,-19.999999999999996,34.76873238422088
FOODS_3,FOODS_3_734,FOODS_3_822,COMPLEMENT_LIKE,STRONG,58,48,10,-5.5076470582333545,0.838269663619747,0.3527699043785345,True,5.5076470582333545,-5.504521024274022,True,-0.023716526617316044,0.1353413478697623,-2.34375,14.492753623188426
FOODS_3,FOODS_3_734,FOODS_3_257,COMPLEMENT_LIKE,STRONG,59,49,10,-4.995244513350933,0.9102959589747356,0.3468895788286571,True,4.995244513350933,-4.995244513350933,False,-0.023716526617316044,0.1353413478697623,-2.34375,14.492753623188426
FOODS_2,FOODS_2_240,FOODS_2_182,COMPLEMENT_LIKE,STRONG,53,25,28,-3.9119175508213715,-0.3915508540675569,0.3206645980062568,True,3.9119175508213715,-3.9119175508213715,False,-0.22543976357456,0.22543976357456008,-20.18348623853211,25.287356321839095
FOODS_3,FOODS_3_231,FOODS_3_090,SUBSTITUTION_LIKE,STRONG,95,41,54,3.432807176357696,0.2661243301605909,0.2535718734179767,True,3.432807176357696,3.432807176357696,False,-0.1829906769259788,0.09567520992336254,-16.722408026755854,10.040160642570273
FOODS_3,FOODS_3_231,FOODS_3_295,SUBSTITUTION_LIKE,STRONG,90,37,53,1.9637848950421786,0.04224140775519095,0.14728554230080126,True,1.9637848950421786,1.9637848950421786,False,-0.1829906769259788,0.09567520992336254,-16.722408026755854,10.040160642570273
FOODS_2,FOODS_2_166,FOODS_2_182,COMPLEMENT_LIKE,STRONG,50,23,27,-3.932781771996756,-0.2705885479926201,0.2698217027328581,True,3.932781771996756,-3.932781771996756,False,-0.22543976357456,0.22543976357456008,-20.18348623853211,25.287356321839095
FOODS_3,FOODS_3_281,FOODS_3_202,COMPLEMENT_LIKE,STRONG,90,47,43,-0.8040478991173075,-0.12416267052993216,0.005627636974527728,True,0.8040478991173075,-0.8040478991173075,False,-0.32208349916911316,0.3220834991691132,-27.536231884057962,37.999999999999986
FOODS_3,FOODS_3_124,FOODS_3_723,SUBSTITUTION_LIKE,STRONG,100,43,57,2.6513752955299497,0.2585275354500218,0.258637169730883,True,2.6513752955299497,2.6513752955299497,False,-0.1829906769259788,0.09567520992336254,-16.722408026755854,10.040160642570273
FOODS_3,FOODS_3_281,FOODS_3_136,COMPLEMENT_LIKE,STRONG,93,48,45,-0.5093886185167813,-0.10610395014583475,-0.015259036112335256,True,0.5093886185167813,-0.5093886185167813,False,-0.32208349916911316,0.3220834991691132,-27.536231884057962,37.999999999999986
FOODS_3,FOODS_3_231,FOODS_3_406,SUBSTITUTION_LIKE,STRONG,89,39,50,2.574527475456595,0.02483314646785038,0.2020227929363505,True,2.574527475456595,2.574527475456595,False,-0.1829906769259788,0.09567520992336254,-16.722408026755854,10.040160642570273
FOODS_2,FOODS_2_240,FOODS_2_036,COMPLEMENT_LIKE,STRONG,57,27,30,-3.548491421148097,0.025509899639702745,0.28496997739421503,True,3.548491421148097,-3.548491421148097,False,-0.22543976357456,0.22543976357456008,-20.18348623853211,25.287356321839095
FOODS_1,FOODS_1_061,FOODS_1_037,SUBSTITUTION_LIKE,MODERATE,39,27,12,5.160507701740856,-0.06366391043288754,0.256915102311124,True,5.160507701740856,3.801313542541984,True,-0.219709088865575,0.13353139262452257,-19.72477064220184,14.28571428571428
FOODS_2,FOODS_2_294,FOODS_2_056,COMPLEMENT_LIKE,STRONG,61,20,41,-2.9986504346388427,-0.5157701166566602,0.23554627793390348,True,2.9986504346388427,-2.9986504346388427,False,-0.2926696139628201,0.29266961396282004,-25.373134328358216,34.00000000000001
